time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.15722762176e-06,-4.36304270256e-08,10.0007662245,6.28311174962,0.000894063548194,0.0,-8.83659585594e-05,-4.6911484179e-06,0.0255402905152,-0.00379829580087,0.0346801909325,0.0,411.7929816851106,414.84883337100547,412.04449888879395,411.70866325965005
0.12000000000000001,-3.42376922079e-05,-2.53881219749e-06,10.0057527756,6.28310756214,0.00356102476656,0.0,-0.00126695466762,-8.9657191574e-05,0.140669667117,0.00650337264803,0.0590385544703,0.0,440.1556024767063,442.1675781980059,441.767675281486,442.61615394925474
0.18,-0.000203354157342,-7.04177170392e-06,10.0185723403,0.00100701373734,0.00726860104773,0.0,-0.00476515925565,2.69851871876e-05,0.286621183587,0.0346352612407,0.0667976485178,0.0,450.7319480371012,451.3611344074382,450.3798497376005,452.6490078130254
0.23999999999999996,-0.000662512300852,2.46033205689e-05,10.0397450955,0.00280310728871,0.0111953603818,0.0,-0.0109637398309,0.00123708063416,0.419093378159,0.018316907898,0.0625969979733,0.0,447.65587913520494,447.3171206903892,447.5757395942709,446.2461556524489
0.3,-0.00159655902952,0.000168633027647,10.0704567785,0.003877172245,0.0150089333163,0.0,-0.0206042501756,0.00368825056723,0.604543296946,0.0170562422068,0.0654174719943,0.0,462.5773997579067,462.80218328783474,464.26074722707034,464.1617565840981
0.36000000000000004,-0.00314792241567,0.000471299319568,10.1090962522,0.00479435615032,0.0185801018205,0.0,-0.0314816267766,0.00649660932137,0.683388215544,0.0114885525469,0.0438552302866,0.0,431.23294885818746,429.4104861991926,431.0314889817008,430.56068002632696
0.4200000000000001,-0.00545260725766,0.000968569615642,10.1542221345,0.0057323442383,0.0215659954923,0.0,-0.0456437958716,0.0101672406277,0.820712211215,0.0228468753844,0.0595324857253,0.0,449.0850995590169,450.3562405302951,448.0808101254333,449.00301413705176
0.48000000000000015,-0.00860914222272,0.00169110945275,10.204605449,0.00706294515574,0.0250553185052,0.0,-0.0599014032516,0.0140426074666,0.858694985383,0.0208015837919,0.0552495437826,0.0,416.8767849817525,416.50501397576534,418.4361029082343,418.2580911116098
0.5400000000000001,-0.0127294922671,0.00268355957169,10.2589625442,0.00868085278119,0.028398756774,0.0,-0.0777787467252,0.0191856606206,0.953123279265,0.0370819195477,0.0566559620724,0.0,435.7457086584057,435.86541813635654,435.4650356789639,436.8247704596275
0.6000000000000002,-0.0180101359526,0.00402639266785,10.3195740536,0.0109046923442,0.0328480196279,0.0,-0.0986620488042,0.0258058988562,1.06714481251,0.0370281236548,0.0961434196838,0.0,440.8853742388956,444.13937067270183,442.2224579789774,442.2186749731706
0.6600000000000003,-0.0245637503819,0.00578633368894,10.3846145781,0.0134486679868,0.0388561131921,0.0,-0.120334777059,0.0330794269827,1.10081783381,0.0514149615122,0.107109797104,0.0,416.11553276738,417.0836325722109,416.0470282304041,417.30570223703546
0.7200000000000003,-0.0327076843433,0.00809461563205,10.4560281607,0.0170675841952,0.0459797142019,0.0,-0.151900246247,0.0442458658947,1.27941186014,0.0738973060327,0.135313812019,0.0,461.5996145922893,463.8313234223469,461.61035881308726,463.38320964355995
0.7800000000000004,-0.0427654344358,0.0111048367093,10.5349848462,0.0218471764127,0.0537453626133,0.0,-0.184136823412,0.0565458685378,1.35234407535,0.0892217358852,0.113820018853,0.0,431.705875760186,429.90425976916623,428.90256362280246,430.2072179753187
0.8400000000000004,-0.055141924925,0.0150482997997,10.622575253,0.026773027162,0.0604271257412,0.0,-0.229203248035,0.0755145631711,1.56700142324,0.0614187911209,0.105934665864,0.0,475.25734960696803,474.6627354133749,474.34310086917935,472.2081662506815
0.9000000000000005,-0.0703029551915,0.0202057013477,10.7217537391,0.0300756460237,0.0669465864637,0.0,-0.276875949046,0.0967891825896,1.73863873993,0.0375529478063,0.113608508623,0.0,462.2074594250761,462.82165307831394,462.4617039936049,460.58000023496436
0.9600000000000005,-0.0881495865352,0.0265632536829,10.826454476,0.0323546956154,0.0737102393017,0.0,-0.318616988366,0.115328702413,1.75131075866,0.0388327213866,0.110906434351,0.0,411.95903783963246,411.73245352046985,412.0293150365901,412.1432526088456
1.0200000000000005,-0.109052572993,0.0342619139285,10.9376140756,0.0350739404315,0.0810685425281,0.0,-0.378955304857,0.141578294616,1.95359943642,0.0558734867173,0.139344433524,0.0,471.8565860291113,474.05886914931176,470.422369354097,471.74099393922876
1.0800000000000005,-0.133683857136,0.0435716885316,11.0600044935,0.0383990691143,0.0895143921525,0.0,-0.443011094891,0.16910883584,2.12566658315,0.0544939688327,0.143459329544,0.0,463.678231522432,464.01887056822505,463.968230730138,463.86184674656477
1.1400000000000006,-0.162547587146,0.0546911289826,11.1948289319,0.0413984623058,0.0978245234329,0.0,-0.520116065071,0.201903533264,2.36787498821,0.0389793995892,0.126085596921,0.0,485.4699760171286,484.1805380914192,486.6000458328651,485.43860662609467
1.2000000000000006,-0.19615754797,0.0678131147069,11.3433254681,0.0439712234749,0.105404563154,0.0,-0.601072269772,0.235763739501,2.58141927862,0.0497165252279,0.126825720291,0.0,479.46782999504785,479.5373154455297,476.718501169304,477.53906924685
1.2600000000000007,-0.234686465281,0.0829794015769,11.503473905,0.046788308533,0.113008871674,0.0,-0.684044202004,0.270082980204,2.75631323205,0.0407536778861,0.126563594135,0.0,467.3460035608095,467.3393537932628,469.1733085093533,468.4781109865374
